Incident Number,Incident Types,Reported Date,Nearest Populated Centre,Province,Company,Substance,Significant,What Happened Category
INC2017-188,Release of Substance,11/23/2017,Grande Prairie,Alberta,Alliance Pipeline Ltd.,Natural Gas - Sweet,No,Equipment Failure
INC2017-194,Release of Substance,12/06/2017,Fox Creek,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Defect and Deterioration
INC2017-195,Release of Substance,12/06/2017,Fox Creek,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Corrosion and Cracking
INC2017-197,Release of Substance,12/13/2017,Irricana,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Defect and Deterioration
INC2017-201,Release of Substance,12/27/2017,Fox Creek,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Corrosion and Cracking
INC2018-003,Release of Substance,01/11/2018,"Manning, AB",Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,Yes,Equipment Failure
INC2018-005,Fire,01/12/2018,"Bonnyville, AB",Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,External Interference
INC2018-006,Fire,01/16/2018,"Wandering River, AB",Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,Incorrect Operation
INC2018-009,Release of Substance,01/22/2018,Holden,Alberta,TransCanada PipeLines Limited,Natural Gas - Sweet,No,Corrosion and Cracking
INC2018-011,Fire,01/25/2018,Sundre,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,"External Interference, Incorrect Operation"
INC2018-012,Release of Substance,02/01/2018,Drayton Valley,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,"Corrosion and Cracking, Incorrect Operation"
INC2018-016,Fire,02/16/2018,"Cremona, Alberta",Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,Corrosion and Cracking
INC2018-026,Release of Substance,04/03/2018,Sherwood Park,Alberta,Enbridge Pipelines Inc.,Diesel Fuel,No,Corrosion and Cracking
INC2018-028,Release of Substance,04/14/2018,"Lac La Biche, AB",Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,Yes,Corrosion and Cracking
INC2018-042,Operation Beyond Design Limits,05/04/2018,"Carbon, AB",Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,External Interference
INC2018-043,Operation Beyond Design Limits,05/08/2018,"Hardisty, Alberta",Alberta,Enbridge Pipelines Inc.,Not Applicable,No,Incorrect Operation
INC2018-052,Operation Beyond Design Limits,05/29/2018,"Brooks, AB",Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,"External Interference, Natural Force Damage"
INC2018-056,Operation Beyond Design Limits,06/06/2018,"Rycroft, AB",Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,External Interference
INC2018-058,Operation Beyond Design Limits,06/07/2018,"Brooks, AB",Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,"External Interference, Natural Force Damage"
INC2018-060,Release of Substance,06/10/2018,"Slave Lake, AB",Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,"Equipment Failure, External Interference"
INC2018-069,Operation Beyond Design Limits,06/28/2018,"Sedgewick, Alberta",Alberta,Enbridge Pipelines Inc.,Not Applicable,No,Natural Force Damage
INC2018-070,Operation Beyond Design Limits,06/29/2018,Saddle Hills,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,"External Interference, Natural Force Damage"
INC2018-082,Serious Injury (CER or TSB),08/01/2018,Slave Lake,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,Yes,Other Causes
INC2018-083,Operation Beyond Design Limits,08/02/2018,Fawcett,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,"External Interference, Natural Force Damage"
INC2018-094,Operation Beyond Design Limits,08/21/2018,"Conklin, Alberta",Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,Natural Force Damage
INC2018-098,Fire,08/22/2018,"Big Valley, Alberta",Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,"External Interference, Incorrect Operation"
INC2018-103,Fire,08/24/2018,"Sedgewick, AB",Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,"Equipment Failure, Incorrect Operation"
INC2018-112,Operation Beyond Design Limits,09/06/2018,The community of Bonanza is 4.4 kMs from this location,Alberta,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,No,Natural Force Damage
INC2018-113,Serious Injury (CER or TSB),09/06/2018,"Albright, Alberta ",Alberta,NOVA Gas Transmission Ltd.,Not Applicable,Yes,External Interference
INC2018-117,Release of Substance,09/14/2018,"Glendon, AB",Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,Yes,Corrosion and Cracking
INC2018-119,Fire,09/15/2018,"Spirit River, AB",Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,"External Interference, Incorrect Operation"
INC2018-132,Fire,09/26/2018,"Gordondale, AB",Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,"External Interference, Incorrect Operation"
INC2018-139,Release of Substance,10/06/2018,Rainier,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Corrosion and Cracking
INC2018-145,Release of Substance,10/15/2018,Cleardale,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Corrosion and Cracking
INC2018-160,Operation Beyond Design Limits,11/05/2018,"Bonanza, AB",Alberta,Pouce Coup� Pipe Line Ltd. as agent and general partner of the Pembina North Limited Partnership,Not Applicable,No,"External Interference, Natural Force Damage"
INC2018-165,Release of Substance,11/21/2018,"Trout Lake, Alberta",Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,"Corrosion and Cracking, Incorrect Operation"
INC2018-174,Operation Beyond Design Limits,12/01/2018,"Hardisty, Alberta",Alberta,Express Pipeline Ltd.,Not Applicable,No,"External Interference, Incorrect Operation"
INC2018-186,Fire,12/19/2018,Mc Neil,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,"External Interference, Incorrect Operation"
INC2019-003,Operation Beyond Design Limits,01/10/2019,Sherwood Park,Alberta,Enbridge Southern Lights GP Inc. on behalf of Enbridge Southern Lights LP,Not Applicable,No,"External Interference, Incorrect Operation"
INC2019-004,Fire,01/10/2019,"Fox Creek, AB",Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,"Equipment Failure, Incorrect Operation"
INC2019-007,Fire,01/15/2019,Valleyview,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,"External Interference, Incorrect Operation"
INC2019-008,Release of Substance,01/16/2019,Cleardale,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Corrosion and Cracking
INC2019-013,Release of Substance,01/27/2019,"Thorhild, AB",Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Corrosion and Cracking
INC2019-014,Fire,01/29/2019,Edson Alberta,Alberta,Trans Mountain Pipeline ULC,Not Applicable,No,"External Interference, Incorrect Operation"
INC2019-016,Operation Beyond Design Limits,02/01/2019,Carvel Corner,Alberta,Trans Mountain Pipeline ULC,Not Applicable,No,Natural Force Damage
INC2019-018,Fire,02/04/2019,Grande Prairie,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,"External Interference, Incorrect Operation"
INC2019-022,Fire,02/07/2019,"Burstall, Alberta",Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,External Interference
INC2019-024,Operation Beyond Design Limits,02/14/2019,Hardisty,Alberta,Enbridge Pipelines Inc.,Not Applicable,No,External Interference
INC2019-028,Fire,02/28/2019,Edson,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,Other Causes
INC2019-031,Fire,03/07/2019,"Edmoton, Alberta",Alberta,Trans Mountain Pipeline ULC,Not Applicable,No,"Equipment Failure, External Interference, Incorrect Operation"
INC2019-038,Serious Injury (CER or TSB),04/04/2019,"Sherwood Park, AB",Alberta,Trans Mountain Pipeline ULC,Not Applicable,Yes,Incorrect Operation
INC2019-040,Explosion,04/16/2019,Town of Japser,Alberta,Trans Mountain Pipeline ULC,Not Applicable,No,Incorrect Operation
INC2019-041,Release of Substance,04/17/2019,"Edson, AB",Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,Yes,Corrosion and Cracking
INC2019-062,Fire,05/27/2019,"Hanna, AB",Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,"Equipment Failure, Incorrect Operation"
INC2019-072,Operation Beyond Design Limits,06/18/2019,"Donatville, AB",Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,"External Interference, Natural Force Damage"
INC2019-077,Fire,06/29/2019,Sherwood Park,Alberta,Trans Mountain Pipeline ULC,Not Applicable,No,Incorrect Operation
INC2019-081,Release of Substance,07/14/2019,Suffield,Alberta,Express Pipeline Ltd.,Crude Oil - Sweet,No,External Interference
INC2019-084,Fire,07/22/2019,Beaverlodge,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,External Interference
INC2019-091,Serious Injury (CER or TSB),08/15/2019,Edson,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,Yes,"External Interference, Incorrect Operation"
INC2019-099,Fire,09/08/2019,"Edson, AB",Alberta,Trans Mountain Pipeline ULC,Not Applicable,No,"Equipment Failure, External Interference"
INC2019-100,Fire,09/11/2019,"Crossfield, AB",Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,"Equipment Failure, External Interference"
INC2019-105,Operation Beyond Design Limits,09/30/2019,"Branch Modular Home Park, Yellowhead County (2km East of site)",Alberta,Trans Mountain Pipeline ULC,Not Applicable,No,"External Interference, Natural Force Damage"
INC2019-109,Release of Substance,10/09/2019,Edmonton,Alberta,Enbridge Pipelines Inc.,Crude Oil - Synthetic,No,Corrosion and Cracking
INC2019-112,Release of Substance,10/18/2019,"Sherwood Park, AB",Alberta,Trans Mountain Pipeline ULC,Crude Oil - Sweet,No,"External Interference, Incorrect Operation"
INC2019-113,Release of Substance,10/18/2019,"Water Valley, AB",Alberta,NOVA Gas Transmission Ltd.,Lube Oil,No,"Equipment Failure, Other Causes"
INC2019-114,Operation Beyond Design Limits,10/21/2019,"Wandering River, AB",Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,Natural Force Damage
INC2019-116,Fire,10/23/2019,"Edson, AB",Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,"External Interference, Incorrect Operation"
INC2019-120,Release of Substance,11/05/2019,"Edson, Alberta",Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,Yes,Corrosion and Cracking
INC2019-124,Release of Substance,11/14/2019,Hardisty,Alberta,TransCanada Keystone Pipeline GP Ltd.,Crude Oil - Sweet,No,Incorrect Operation
INC2019-131,Serious Injury (CER or TSB),12/09/2019,"Edson, AB",Alberta,NOVA Gas Transmission Ltd.,Not Applicable,Yes,External Interference
INC2019-135,Operation Beyond Design Limits,12/18/2019,Hardisty,Alberta,TransCanada Keystone Pipeline GP Ltd.,Not Applicable,No,"Equipment Failure, External Interference"
INC2020-006,Fire,01/26/2020,"Paddle Prairie, AB",Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,External Interference
INC2020-007,Fire,01/28/2020,Manning,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,External Interference
INC2020-015,Fire,02/04/2020,Hinton ,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,"External Interference, Incorrect Operation"
INC2020-016,Release of Substance,02/07/2020,Edson ,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Corrosion and Cracking
INC2020-017,Release of Substance,02/14/2020,"Daysland, AB",Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Corrosion and Cracking
INC2020-018,Fire,02/14/2020,Edson,Alberta,Trans Mountain Pipeline ULC,Not Applicable,No,External Interference
INC2020-026,Fire,03/01/2020,Claresholm,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,"External Interference, Incorrect Operation"
INC2020-029,Fire,03/06/2020,Edmonton,Alberta,Trans Mountain Pipeline ULC,Not Applicable,No,External Interference
INC2020-033,Fire,03/23/2020,Conklin,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,"Defect and Deterioration, External Interference"
INC2020-036,Release of Substance,04/10/2020,Edson,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Corrosion and Cracking
INC2020-039,Release of Substance,04/23/2020,Grande Prairie,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,Yes,Corrosion and Cracking
INC2020-040,Operation Beyond Design Limits,04/24/2020,Two Hills,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,"External Interference, Natural Force Damage"
INC2020-043,Release of Substance,04/26/2020,Fort McMurray,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,Yes,"Corrosion and Cracking, Natural Force Damage"
INC2020-046,Fire,05/01/2020,Sherwood Park ,Alberta,Trans Mountain Pipeline ULC,Not Applicable,No,"External Interference, Incorrect Operation"
INC2020-047,Operation Beyond Design Limits,05/05/2020,Wabasca,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,"External Interference, Incorrect Operation"
INC2020-050,Release of Substance,05/24/2020,Longview ,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Corrosion and Cracking
INC2020-055,Explosion,06/06/2020,Baytree,Alberta,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,No,"Equipment Failure, External Interference"
INC2020-058,Operation Beyond Design Limits,06/14/2020,Edmonton,Alberta,Enbridge Pipelines Inc.,Not Applicable,No,External Interference
INC2020-060,Operation Beyond Design Limits,06/14/2020,Drayton Valley,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,To be determined
INC2020-061,"Explosion, Fire",06/15/2020,Hardisty,Alberta,TransCanada Keystone Pipeline GP Ltd.,Not Applicable,No,"Equipment Failure, External Interference"
INC2020-067,Operation Beyond Design Limits,06/26/2020,Gordondale,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,Natural Force Damage
INC2020-068,Serious Injury (CER or TSB),07/02/2020,Red Earth,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,Yes,"External Interference, Incorrect Operation"
INC2020-073,Operation Beyond Design Limits,07/14/2020,Edson,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,Natural Force Damage
INC2020-085,Operation Beyond Design Limits,08/14/2020,Fort Saskatchewan,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,Natural Force Damage
INC2020-088,Fire,08/19/2020,Oyen,Alberta,TransCanada Keystone Pipeline GP Ltd.,Not Applicable,No,External Interference
INC2020-096,Fire,09/16/2020,Manning,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,"Equipment Failure, Incorrect Operation"
INC2020-098,Operation Beyond Design Limits,09/25/2020,Wildwood,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,External Interference
INC2020-099,Operation Beyond Design Limits,09/30/2020,High Prairie,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,Natural Force Damage
INC2020-100,Serious Injury (CER or TSB),09/30/2020,Hinton,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,Yes,"External Interference, Incorrect Operation"
INC2020-101,Serious Injury (CER or TSB),10/01/2020,Provost ,Alberta,TransCanada Keystone Pipeline GP Ltd.,Not Applicable,Yes,"External Interference, Incorrect Operation"
INC2020-102,Release of Substance,10/02/2020,Youngstown Village,Alberta,Express Pipeline Ltd.,Crude Oil - Sweet,Yes,"External Interference, Incorrect Operation"
INC2020-110,Release of Substance,10/14/2020,Fort McMurray,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,"Corrosion and Cracking, Natural Force Damage"
INC2020-111,Operation Beyond Design Limits,10/15/2020,Jarvie,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,Natural Force Damage
INC2020-113,Serious Injury (CER or TSB),10/25/2020,Edmonton,Alberta,Trans Mountain Pipeline ULC,Not Applicable,Yes,Incorrect Operation
INC2020-114,Serious Injury (CER or TSB),10/26/2020,"Edmonton, Alberta ",Alberta,Trans Mountain Pipeline ULC,Not Applicable,Yes,"External Interference, Incorrect Operation"
INC2020-115,Fatality,10/27/2020,Edmonton,Alberta,Trans Mountain Pipeline ULC,Not Applicable,Yes,Incorrect Operation
INC2020-123,Fire,11/07/2020,Wabasca,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,"External Interference, Incorrect Operation"
INC2020-126,Fire,11/17/2020,Grande Prairie,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,Equipment Failure
INC2020-127,Release of Substance,11/17/2020,Wabasca AB,Alberta,NOVA Gas Transmission Ltd.,Lube Oil,No,Incorrect Operation
INC2020-139,Serious Injury (CER or TSB),12/30/2020,"Sherwood Park, Alberta",Alberta,Enbridge Pipelines Inc.,Not Applicable,Yes,Incorrect Operation
INC2021-003,Operation Beyond Design Limits,01/14/2021,"Anzac, AB",Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,Natural Force Damage
INC2021-004,Serious Injury (CER or TSB),01/19/2021,Oyen,Alberta,TransCanada Keystone Pipeline GP Ltd.,Not Applicable,Yes,"External Interference, Incorrect Operation"
INC2021-006,Operation Beyond Design Limits,01/25/2021,Lac La Biche,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,Natural Force Damage
INC2021-014,Release of Substance,02/02/2021,"Bonanza, AB",Alberta,Westcoast Energy Inc.,Natural Gas - Sweet,No,Defect and Deterioration
INC2021-017,Fire,02/04/2021,"Suffield, Albereta",Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,External Interference
INC2021-023,Operation Beyond Design Limits,02/18/2021,Edmonton,Alberta,Enbridge Pipelines Inc.,Not Applicable,No,"External Interference, Incorrect Operation"
INC2021-026,Fire,02/20/2021,Edson AB,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,"External Interference, Incorrect Operation"
INC2021-027,Fire,02/22/2021,Manning AB,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,"External Interference, Incorrect Operation"
INC2021-030,Fire,02/25/2021,Edson,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,"External Interference, Incorrect Operation"
INC2021-036,Serious Injury (CER or TSB),03/01/2021,Wabasca-Desmarias,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,Yes,Incorrect Operation
INC2021-045,Fire,03/20/2021,"Edson, AB",Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,"External Interference, Incorrect Operation"
INC2021-047,Fire,03/23/2021,Fox Creek,Alberta,Alliance Pipeline Ltd.,Not Applicable,No,"External Interference, Other Causes"
INC2021-056,Fire,04/16/2021,Edson,Alberta,Trans Mountain Pipeline ULC,Not Applicable,No,Incorrect Operation
INC2021-060,Release of Substance,05/01/2021,Rycroft,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Defect and Deterioration
INC2021-062,Adverse Environmental Effects,05/04/2021,"Edson, Alberta",Alberta,Trans Mountain Pipeline ULC,Not Applicable,Yes,Incorrect Operation
INC2021-063,Fire,05/07/2021,Rocky Mountain House,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,"External Interference, Incorrect Operation"
INC2021-064,Release of Substance,05/08/2021,"Fort McMurray, AB",Alberta,NOVA Gas Transmission Ltd.,Lube Oil,No,Equipment Failure
INC2021-066,Release of Substance,05/10/2021,Manning,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Corrosion and Cracking
INC2021-068,Operation Beyond Design Limits,05/12/2021,Bonanza,Alberta,Westcoast Energy Inc.,Not Applicable,No,Natural Force Damage
INC2021-082,Serious Injury (CER or TSB),06/11/2021,Grovedale,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,Yes,Incorrect Operation
INC2021-085,Fire,06/19/2021,"Peers, AB",Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,"External Interference, Incorrect Operation"
INC2021-099,Fire,07/09/2021,"Manning, AB",Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,Equipment Failure
INC2021-100,Serious Injury (CER or TSB),07/11/2021,Grande Cache AB,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,Yes,Incorrect Operation
INC2021-107,Operation Beyond Design Limits,07/16/2021,Fort McMurray,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,Natural Force Damage
INC2021-111,Release of Substance,07/28/2021,Suffield,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,"Corrosion and Cracking, Defect and Deterioration"
INC2021-117,Operation Beyond Design Limits,08/13/2021,Boyle,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,Natural Force Damage
INC2021-118,Adverse Environmental Effects,08/13/2021,"Fox Creek, AB",Alberta,"Alliance Pipeline Ltd., as General Partner for and on behalf of Alliance Pipeline Limited Partnership",Not Applicable,Yes,Other Causes
INC2021-126,Serious Injury (CER or TSB),09/01/2021,"Grande Prairie, AB",Alberta,NOVA Gas Transmission Ltd.,Not Applicable,Yes,Incorrect Operation
INC2021-130,Operation Beyond Design Limits,09/07/2021,Brazeau County,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,Natural Force Damage
INC2021-139,Operation Beyond Design Limits,09/17/2021,"Claresholm, Ab",Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,Natural Force Damage
INC2021-140,Serious Injury (CER or TSB),09/17/2021,Grande Prairie,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,Yes,"External Interference, Incorrect Operation"
INC2021-143,Release of Substance,09/23/2021,Sherwood Park,Alberta,Trans Mountain Pipeline ULC,Crude Oil - Sweet,No,To be determined
INC2021-149,Fire,10/07/2021,Empress,Alberta,Foothills Pipe Lines Ltd.,Not Applicable,No,Equipment Failure
INC2021-151,Operation Beyond Design Limits,10/10/2021,Pincher Creek,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,To be determined
INC2021-168,Release of Substance,11/11/2021,"Warwick, Alberta",Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,To be determined
INC2021-169,Fire,11/13/2021,Rocky Mountain House,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,To be determined
INC2021-173,Adverse Environmental Effects,11/16/2021,Drayton Valley ,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,Yes,To be determined
INC2021-180,Serious Injury (CER or TSB),11/18/2021,Fox Creek,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,Yes,To be determined
INC2021-181,Serious Injury (CER or TSB),11/18/2021,Cold Lake,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,Yes,To be determined
INC2021-195,Adverse Environmental Effects,11/23/2021,Edson,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,Yes,To be determined
INC2021-197,Fire,11/24/2021,Edson AB,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,To be determined
INC2021-216,Fire,12/16/2021,"Halkirk, Alberta",Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,To be determined
INC2021-217,Fire,12/16/2021,Grande Prairie ,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,To be determined
INC2021-218,Fire,12/17/2021,Edson,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,To be determined
INC2008-008,Release of Substance,01/29/2008,Fort Nelson,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sweet,No,Defect and Deterioration
INC2008-009,"Release of Substance, Adverse Environmental Effects",01/29/2008,Taylor,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Potassium Hydroxide (caustic solution),Yes,Equipment Failure
INC2008-040,Release of Substance,04/25/2008,Charlie Lake,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sour,Yes,Defect and Deterioration
INC2008-041,Release of Substance,04/25/2008,Chetwynd,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sour,Yes,Equipment Failure
INC2008-055,Adverse Environmental Effects,05/31/2008,Fort St. John,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,Yes,Equipment Failure
INC2008-062,Fire,06/24/2008,Moyie,British Columbia,TransCanada PipeLines Limited,Not Applicable,No,External Interference
INC2008-080,Serious Injury (CER or TSB),08/15/2008,Valemount,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,Yes,Incorrect Operation
INC2008-087,Release of Substance,09/05/2008,Taylor,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Butane,No,External Interference
INC2008-092,Serious Injury (CER or TSB),09/16/2008,Valemount,British Columbia,Trans Mountain Pipeline Inc.,Not Applicable,Yes,"External Interference, Incorrect Operation"
INC2008-109,"Fire, Release of Substance",11/20/2008,Taylor,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Mixed HVP Hydrocarbons,No,Equipment Failure
INC2008-110,Release of Substance,11/21/2008,Fort Nelson,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Condensate,No,Incorrect Operation
INC2008-111,Release of Substance,11/26/2008,Chetwynd,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Amine,No,Defect and Deterioration
INC2008-112,Fire,11/26/2008,McLeod Lake,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,No,Defect and Deterioration
INC2008-113,"Release of Substance, Adverse Environmental Effects",12/01/2008,Chetwynd,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Glycol,Yes,Defect and Deterioration
INC2008-115,Fire,12/02/2008,Charlie Lake,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,No,Equipment Failure
INC2008-119,Release of Substance,12/08/2008,McLeod Lake,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sweet,No,Defect and Deterioration
INC2009-015,"Serious Injury (CER or TSB), Release of Substance",02/20/2009,Wonowon,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sour,Yes,"Corrosion and Cracking, Incorrect Operation"
INC2009-026,Release of Substance,03/23/2009,Not specified,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sour,Yes,External Interference
INC2009-031,Release of Substance,04/07/2009,Tumbler Ridge,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sour,Yes,Equipment Failure
INC2009-035,"Fire, Release of Substance",04/23/2009,Fort Nelson,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Sulphur,No,Defect and Deterioration
INC2009-036,Release of Substance,04/30/2009,Taylor,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sour,Yes,"External Interference, Incorrect Operation"
INC2009-040,Release of Substance,05/07/2009,Burnaby,British Columbia,Trans Mountain Pipeline ULC,Crude Oil - Sweet,No,Defect and Deterioration
INC2009-043,Fire,05/15/2009,Fort Nelson,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,No,Equipment Failure
INC2009-047,Fire,05/24/2009,Chetwynd,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,No,Equipment Failure
INC2009-056,Release of Substance,07/01/2009,Kobes,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sour,Yes,Corrosion and Cracking
INC2009-060,Release of Substance,07/13/2009,Fort Nelson,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sour,Yes,Corrosion and Cracking
INC2009-072,Fire,07/24/2009,Not specified,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,No,Equipment Failure
